Known As,Full Name,Overall,Latest Award,Value(in Euro),Positions Played,Best Position,Nationality,Image Link,Full Image,Age,Height(in cm),Weight(in kg),Club Name,Wage(in Euro),Release Clause,Club Position,Preferred Foot,National Team Name,National Team Image Link,National Team Position,National Team Jersey Number,Attacking Work Rate,Defensive Work Rate,Pace Total,Shooting Total,Passing Total,Penalties
Jeong Woon,Woon Jeong,69,,675000,"CB,LB",CB,Korea Republic,https://cdn.sofifa.net/players/211/635/23_60.png,,33,180,73,Jeju United FC,4000,844000,CB,Left,-,-,-,-,Medium,Medium,75,57,65,44
M. Modolo,Marco Modolo,69,,675000,CB,CB,Italy,https://cdn.sofifa.net/players/209/637/23_60.png,,33,186,82,Venezia FC,2000,1100000,SUB,Right,-,https://cdn.sofifa.net/flags/it.png,-,-,Medium,High,59,45,49,38
Alcalá,Pedro Alcalá Guirado,69,,675000,CB,CB,Spain,https://cdn.sofifa.net/players/189/709/23_60.png,,33,196,93,FC Cartagena,4000,1100000,CB,Right,-,https://cdn.sofifa.net/flags/es.png,-,-,Medium,Medium,31,47,56,39
M. Fernández,Manuel Fernández,69,,675000,CB,CB,Uruguay,https://cdn.sofifa.net/players/238/837/23_60.png,,33,180,77,Unión Española,3000,911000,CB,Right,-,https://cdn.sofifa.net/flags/uy.png,-,-,Medium,Medium,53,27,44,37
G. Angella,Gabriele Angella,69,,675000,CB,CB,Italy,https://cdn.sofifa.net/players/189/288/23_60.png,,33,193,82,Perugia,2000,1000000,CB,Right,-,https://cdn.sofifa.net/flags/it.png,-,-,Low,Medium,33,37,48,44
J. Ayoví,Jaime Ayoví,69,,675000,ST,ST,Ecuador,https://cdn.sofifa.net/players/202/056/23_60.png,,34,185,86,Independiente del Valle,600,1500000,SUB,Right,-,https://cdn.sofifa.net/flags/ec.png,-,-,Medium,Medium,60,70,58,65
L. Zuffi,Luca Zuffi,67,,675000,"CDM,CM",CDM,Switzerland,https://cdn.sofifa.net/players/210/538/23_60.png,,32,180,76,FC Sion,8000,979000,SUB,Left,-,https://cdn.sofifa.net/flags/ch.png,-,-,Medium,Medium,52,65,70,65
Fausto Tienza,Fausto Antonio Tienza Núñez,67,,675000,CDM,CDM,Spain,https://cdn.sofifa.net/players/213/559/23_60.png,,32,183,78,Racing Santander,3000,1000000,CDM,Right,-,https://cdn.sofifa.net/flags/es.png,-,-,Medium,High,61,54,61,48
T. Hateley,Tom Hateley,67,,675000,"CDM,CM",CDM,England,https://cdn.sofifa.net/players/189/311/23_60.png,,32,180,84,Piast Gliwice,4000,911000,CDM,Right,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,Medium,Medium,72,55,66,62
Rafael de Aseiro,Rafael Simão de Aseiro Vieira,67,,675000,GK,GK,Brazil,https://cdn.sofifa.net/players/230/321/23_60.png,,30,190,85,São Paulo,9000,1300000,SUB,Left,-,https://cdn.sofifa.net/flags/br.png,-,-,Medium,Medium,67,59,58,28
M. Gillespie,Mark Gillespie,67,,675000,GK,GK,England,https://cdn.sofifa.net/players/198/039/23_60.png,,30,192,83,Newcastle United,18000,1300000,RES,Right,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,Medium,Medium,68,65,64,19
A. Mateiu,Alexandru Mateiu,67,,675000,"CDM,CM",CDM,Romania,https://cdn.sofifa.net/players/223/355/23_60.png,,32,175,74,Universitatea Craiova,5000,911000,CM,Right,-,https://cdn.sofifa.net/flags/ro.png,-,-,Medium,Medium,62,64,64,54
S. Bain,Scott Bain,67,,675000,GK,GK,Scotland,https://cdn.sofifa.net/players/198/625/23_60.png,,30,183,84,Celtic,12000,1200000,SUB,Right,-,https://cdn.sofifa.net/flags/gb-sct.png,-,-,Medium,Medium,68,62,68,19
R. Toledo,Rosalino Toledo,66,,675000,CM,CM,Paraguay,https://cdn.sofifa.net/players/259/707/23_60.png,,32,175,75,Guaireña FC,500,1500000,CM,Right,-,https://cdn.sofifa.net/flags/py.png,-,-,Medium,Medium,59,63,62,62
T. Torun,Tunay Torun,66,,675000,"RM,CAM,LM",RM,Turkey,https://cdn.sofifa.net/players/189/263/23_60.png,,32,176,72,Kasimpaşa SK,5000,1400000,SUB,Right,-,https://cdn.sofifa.net/flags/tr.png,-,-,Medium,Medium,67,62,66,56
J. Zacaría,Jonathan Zacaría,66,,675000,"LW,LM,CM",LW,Argentina,https://cdn.sofifa.net/players/218/345/23_60.png,,32,172,76,Club Atlético Aldosivi,4000,979000,SUB,Left,-,https://cdn.sofifa.net/flags/ar.png,-,-,High,Low,70,64,66,59
T. Sana,Tobias Sana,66,,675000,"LW,ST,CAM",LW,Sweden,https://cdn.sofifa.net/players/191/154/23_60.png,,32,172,72,BK Häcken,3000,844000,LW,Right,-,https://cdn.sofifa.net/flags/se.png,-,-,High,Low,73,63,62,64
W. Cevallos,Willian Cevallos,66,,675000,"CM,CDM",CAM,Ecuador,https://cdn.sofifa.net/players/260/441/23_60.png,,32,172,74,C.D. Universidad Católica del Ecuador,500,1500000,SUB,Right,-,https://cdn.sofifa.net/flags/ec.png,-,-,High,Low,69,66,63,51
G. Espinoza,Gonzalo Espinoza,66,,675000,"CM,CDM",CM,Chile,https://cdn.sofifa.net/players/205/410/23_60.png,,32,177,86,Unión Española,2000,911000,CM,Right,-,https://cdn.sofifa.net/flags/cl.png,-,-,High,High,41,61,66,72
R. Jönsson,Rasmus Jönsson,66,,675000,"CAM,ST",CF,Sweden,https://cdn.sofifa.net/players/189/431/23_60.png,,32,192,73,Helsingborgs IF,1000,844000,SUB,Right,-,https://cdn.sofifa.net/flags/se.png,-,-,High,Low,69,63,62,57
Yin Hongbo,Hongbo Yin,66,,675000,"RM,CM",RM,China PR,https://cdn.sofifa.net/players/224/669/23_60.png,,32,180,72,Meizhou Hakka,3000,1000000,SUB,Left,-,-,-,-,Medium,Medium,68,59,66,45
Shim Dong Woon,Dong Woon Shim,66,,675000,"CAM,LM",RM,Korea Republic,https://cdn.sofifa.net/players/207/546/23_60.png,,32,169,67,Seongnam FC,2000,844000,LW,Right,-,-,-,-,High,Medium,86,59,60,62
M. Răduț,Mihai Răduț,66,,675000,"LM,CM,RM",LM,Romania,https://cdn.sofifa.net/players/200/912/23_60.png,,32,179,72,FC Voluntari,4000,911000,RES,Right,-,https://cdn.sofifa.net/flags/ro.png,-,-,Medium,Medium,69,62,64,67
R. Riski,Riku Riski,66,,675000,"RW,LW",RW,Finland,https://cdn.sofifa.net/players/202/182/23_60.png,,32,175,68,HJK Helsinki,500,1500000,RES,Right,-,https://cdn.sofifa.net/flags/fi.png,-,-,Medium,Medium,76,63,61,66
T. Monare,Thabang Monare,66,,675000,"CM,CDM,RM",CM,South Africa,https://cdn.sofifa.net/players/259/281/23_60.png,,32,178,73,Orlando Pirates,500,1500000,RES,Right,-,https://cdn.sofifa.net/flags/za.png,-,-,High,Medium,74,66,66,66
E. Rivera,Edwin Rivera,66,,675000,"CM,CDM",CM,Bolivia,https://cdn.sofifa.net/players/260/647/23_60.png,,32,180,75,Club Always Ready,500,1500000,SUB,Right,-,-,-,-,Medium,High,61,58,63,66
C. Wernitznig,Christopher Wernitznig,66,,675000,"CM,LM,RB",CAM,Austria,https://cdn.sofifa.net/players/202/518/23_60.png,,32,179,79,SK Austria Klagenfurt,4000,979000,RB,Right,-,https://cdn.sofifa.net/flags/at.png,-,-,High,Medium,67,67,65,63
P. Schürpf,Pascal Schürpf,66,,675000,"LM,LW,ST",ST,Switzerland,https://cdn.sofifa.net/players/193/344/23_60.png,,32,190,85,FC Luzern,5000,979000,RES,Left,-,https://cdn.sofifa.net/flags/ch.png,-,-,Medium,High,66,68,64,68
Rubén Martínez,Rubén Martínez Granja,66,,675000,"LM,RM",LM,Spain,https://cdn.sofifa.net/players/211/516/23_60.png,,32,167,60,Albacete BP,3000,1000000,SUB,Left,-,https://cdn.sofifa.net/flags/es.png,-,-,Medium,Low,74,56,63,68
A. Christodoulou,Andreas Christodoulou,65,,675000,GK,GK,Cyprus,https://cdn.sofifa.net/players/269/880/23_60.png,,25,188,83,APOEL Nicosia FC,500,1500000,SUB,Right,-,-,-,-,Medium,Medium,69,65,60,15
J. Nietfeld,Jonas Nietfeld,65,,675000,"CB,CDM",CDM,Germany,https://cdn.sofifa.net/players/238/642/23_60.png,,28,186,83,Hallescher FC,2000,1000000,CB,Right,-,https://cdn.sofifa.net/flags/de.png,-,-,High,Medium,72,61,59,50
P. Lemonnier,Pierre Lemonnier,65,,675000,"CB,CM",CB,France,https://cdn.sofifa.net/players/223/880/23_60.png,,28,184,81,En Avant de Guingamp,2000,1200000,CB,Right,-,https://cdn.sofifa.net/flags/fr.png,-,-,Medium,Medium,57,28,41,40
T. Payne,Tim Payne,65,,675000,"CB,RB",CB,New Zealand,https://cdn.sofifa.net/players/209/361/23_60.png,,28,179,73,Wellington Phoenix,1000,894000,SUB,Right,New Zealand,https://cdn.sofifa.net/flags/nz.png,RWB,21,Medium,High,69,56,59,50
P. Matricardi,Patricio Matricardi,65,,675000,CB,CB,Argentina,https://cdn.sofifa.net/players/217/199/23_60.png,,28,190,83,FC Voluntari,4000,962000,CB,Right,-,https://cdn.sofifa.net/flags/ar.png,-,-,Medium,Medium,51,33,40,48
Peng Xinli,Xinli Peng,65,,675000,"CM,CDM",CAM,China PR,https://cdn.sofifa.net/players/217/160/23_60.png,,30,177,64,Shanghai Shenhua FC,4000,1000000,RM,Left,-,-,-,-,Medium,Medium,78,62,65,60
Luis Paezinho,Luis Benjamin Paes Soares,65,,675000,"CB,LB",CB,Brazil,https://cdn.sofifa.net/players/230/214/23_60.png,,26,182,75,Santos,6000,1300000,SUB,Left,-,https://cdn.sofifa.net/flags/br.png,-,-,Medium,Medium,65,35,47,47
A. Šušnjar,Aleksandar Šušnjar,65,,675000,CB,CB,Australia,https://cdn.sofifa.net/players/242/840/23_60.png,,26,191,81,Macarthur FC,1000,844000,CB,Left,-,https://cdn.sofifa.net/flags/au.png,-,-,Medium,Medium,65,44,53,44
F. Haugen,Fredrik Haugen,65,,675000,CM,CAM,Norway,https://cdn.sofifa.net/players/200/770/23_60.png,,30,182,76,Aalesunds FK,1000,844000,SUB,Right,-,https://cdn.sofifa.net/flags/no.png,-,-,High,High,71,65,65,60
T. Dieng,Timothée Dieng,65,,675000,CM,CB,France,https://cdn.sofifa.net/players/206/142/23_60.png,,30,189,79,Exeter City,3000,1200000,CM,Right,-,https://cdn.sofifa.net/flags/fr.png,-,-,Medium,High,60,58,59,50
A. De Vitis,Alessandro De Vitis,65,,675000,"CM,CDM,CB",CM,Italy,https://cdn.sofifa.net/players/202/603/23_60.png,,30,184,77,Pisa,1000,1100000,RES,Right,-,https://cdn.sofifa.net/flags/it.png,-,-,Medium,Medium,64,61,63,60
F. Michel,Florian Michel,65,,675000,"CM,CAM",CAM,France,https://cdn.sofifa.net/players/252/358/23_60.png,,30,172,63,Grenoble Foot 38,2000,1200000,CDM,Left,-,https://cdn.sofifa.net/flags/fr.png,-,-,Medium,Medium,79,55,63,52
M. Tamás,Márk Tamás,65,,675000,CB,CB,Hungary,https://cdn.sofifa.net/players/255/942/23_60.png,,28,192,74,Sepsi OSK Sf. Gheorghe,4000,962000,SUB,Left,-,https://cdn.sofifa.net/flags/hu.png,-,-,Low,Medium,61,28,48,38
M. Mandron,Mikaël Mandron,64,,675000,ST,ST,France,https://cdn.sofifa.net/players/204/785/23_60.png,,27,191,82,Gillingham,4000,1200000,ST,Left,-,https://cdn.sofifa.net/flags/fr.png,-,-,Medium,High,64,63,53,64
H. Smith,Harry Smith,64,,675000,ST,ST,England,https://cdn.sofifa.net/players/236/025/23_60.png,,27,193,85,Exeter City,5000,0,SUB,Right,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,Medium,Low,53,64,48,60
W. Soleto,Wilfredo Soleto,64,,675000,"RB,CB",RB,Bolivia,https://cdn.sofifa.net/players/254/963/23_60.png,,26,179,87,Club Deportivo Oriente Petrolero,500,1500000,CB,Right,-,-,-,-,Medium,High,69,30,52,37
M. O'Hara,Mark O'Hara,64,,675000,"CM,CDM",CM,Scotland,https://cdn.sofifa.net/players/211/536/23_60.png,,26,188,80,St. Mirren,2000,1200000,CM,Right,-,https://cdn.sofifa.net/flags/gb-sct.png,-,-,Medium,High,70,59,61,61
C. Depres,Clément Depres,64,,675000,ST,ST,France,https://cdn.sofifa.net/players/226/127/23_60.png,,27,188,80,Rodez Aveyron Football,2000,1200000,SUB,Right,-,https://cdn.sofifa.net/flags/fr.png,-,-,Medium,Medium,33,67,51,68
C. Norman,Cameron Norman,64,,675000,"RWB,RB",RWB,England,https://cdn.sofifa.net/players/213/151/23_60.png,,26,188,74,Newport County,4000,1200000,RWB,Right,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,High,High,69,47,56,43
J. Mansoni,Junior Mansoni,64,,675000,"RWB,RB",RWB,Belgium,https://cdn.sofifa.net/players/263/075/23_60.png,,26,185,78,Seraing,4000,1000000,SUB,Right,-,https://cdn.sofifa.net/flags/be.png,-,-,High,Medium,75,60,56,54
C. Camps,Callum Camps,64,,675000,CM,CM,Northern Ireland,https://cdn.sofifa.net/players/212/990/23_60.png,,26,180,75,Stockport County,4000,1200000,CDM,Right,-,-,-,-,High,Medium,67,62,63,55
N. Tzanev,Nik Tzanev,64,,675000,GK,GK,New Zealand,https://cdn.sofifa.net/players/230/971/23_60.png,,25,195,90,AFC Wimbledon,2000,1200000,GK,Right,-,https://cdn.sofifa.net/flags/nz.png,-,-,Medium,Medium,64,65,59,15
Park Dong Jin,Dong Jin Park,64,,675000,"ST,RB,CB",CB,Korea Republic,https://cdn.sofifa.net/players/233/279/23_60.png,,27,185,73,FC Seoul,2000,894000,SUB,Right,-,-,-,-,High,High,74,58,49,43
N. Mbemba,Nolan Mbemba,64,,675000,"CM,CDM,RB",CAM,Congo DR,https://cdn.sofifa.net/players/224/095/23_60.png,,27,182,75,Le Havre AC,2000,1200000,SUB,Right,-,-,-,-,Medium,Medium,66,58,62,50
T. James,Tom James,64,,675000,"RB,RWB",RB,Wales,https://cdn.sofifa.net/players/222/583/23_60.png,,26,175,75,Leyton Orient,4000,1200000,RB,Right,-,https://cdn.sofifa.net/flags/gb-wls.png,-,-,High,High,73,57,58,54
J. Düker,Julius Düker,64,,675000,"CM,CDM,ST",CM,Germany,https://cdn.sofifa.net/players/225/654/23_60.png,,26,188,80,Chennaiyin FC,700,962000,CDM,Left,-,https://cdn.sofifa.net/flags/de.png,-,-,Medium,Medium,64,56,63,53
D. Cleary,Dan Cleary,64,,675000,CB,CB,Republic of Ireland,https://cdn.sofifa.net/players/233/056/23_60.png,,26,182,74,Shamrock Rovers,950,1100000,SUB,Right,-,-,-,-,Medium,High,58,36,45,50
M. Stefaniak,Marvin Stefaniak,64,,675000,"CAM,LW,LM",RM,Germany,https://cdn.sofifa.net/players/216/255/23_60.png,,27,178,76,FC Erzgebirge Aue,1000,1000000,LM,Right,-,https://cdn.sofifa.net/flags/de.png,-,-,High,Medium,75,60,64,64
B. Galloway,Brendan Galloway,64,,675000,CB,CB,Zimbabwe,https://cdn.sofifa.net/players/209/852/23_60.png,,26,186,74,Plymouth Argyle,3000,1200000,SUB,Left,-,-,-,-,High,Medium,69,37,54,42
Park Jin Sub,Jin Sub Park,64,,675000,"CB,CM",CB,Korea Republic,https://cdn.sofifa.net/players/243/673/23_60.png,,26,184,80,Jeonbuk Hyundai Motors,3000,928000,CB,Right,-,-,-,-,Medium,Medium,66,52,58,49
C. Long,Chris Long,64,,675000,"ST,LM",ST,England,https://cdn.sofifa.net/players/216/795/23_60.png,,27,180,77,Crewe Alexandra,4000,1200000,RES,Right,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,Medium,Low,77,63,50,59
Jordi Sánchez,Jordi Sánchez Ribas,64,,675000,ST,ST,Spain,https://cdn.sofifa.net/players/243/972/23_60.png,,27,190,86,Widzew Łódź,2000,962000,ST,Right,-,https://cdn.sofifa.net/flags/es.png,-,-,Medium,Medium,73,64,45,59
S. Breza,Sebastian Breza,64,,675000,GK,GK,Canada,https://cdn.sofifa.net/players/261/687/23_60.png,,24,193,87,Club de Foot Montréal,4000,0,GK,Right,-,https://cdn.sofifa.net/flags/ca.png,-,-,Medium,Medium,64,64,50,21
I. Wadji,Ibrahima Wadji,64,,675000,ST,ST,Senegal,https://cdn.sofifa.net/players/240/497/23_60.png,,27,175,74,AS Saint-Étienne,2000,1300000,SUB,Right,-,-,-,-,High,Medium,87,61,53,52
A. Bass,Alex Bass,64,,675000,GK,GK,England,https://cdn.sofifa.net/players/225/134/23_60.png,,24,191,70,Sunderland,3000,1300000,RES,Right,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,Medium,Medium,65,62,64,20
R. Jensen,Richard Jensen,64,,675000,CB,CB,Finland,https://cdn.sofifa.net/players/231/533/23_60.png,,26,185,78,Górnik Zabrze,2000,962000,CB,Left,-,https://cdn.sofifa.net/flags/fi.png,-,-,Medium,Medium,58,43,53,45
S. Nilsen,Snorre Strand Nilsen,64,,675000,RB,RB,Norway,https://cdn.sofifa.net/players/229/678/23_60.png,,25,186,82,Kristiansund BK,1000,894000,RWB,Right,-,https://cdn.sofifa.net/flags/no.png,-,-,Medium,Medium,66,42,52,38
Hong Jeong Un,Jeong Un Hong,64,,675000,CB,CB,Korea Republic,https://cdn.sofifa.net/players/233/012/23_60.png,,27,187,76,Daegu FC,2000,894000,SUB,Right,-,-,-,-,Medium,Medium,55,37,56,39
E. Masciangelo,Edoardo Masciangelo,64,,675000,LB,LB,Italy,https://cdn.sofifa.net/players/244/780/23_60.png,,25,177,69,Benevento,1000,1100000,LB,Left,-,https://cdn.sofifa.net/flags/it.png,-,-,High,Medium,76,40,51,45
J. Dörfler,Johannes Dörfler,64,,675000,"RB,RM",RB,Germany,https://cdn.sofifa.net/players/243/882/23_60.png,,25,186,80,SV Waldhof Mannheim 07,4000,0,SUB,Right,-,https://cdn.sofifa.net/flags/de.png,-,-,High,Medium,73,52,57,43
L. Cáceres,Luis Cáceres,64,,675000,CB,CB,Paraguay,https://cdn.sofifa.net/players/261/033/23_60.png,,26,180,77,Club Olimpia,500,1500000,SUB,Right,-,https://cdn.sofifa.net/flags/py.png,-,-,Medium,High,60,37,44,58
A. Helac,Ammar Helac,64,,675000,GK,GK,Austria,https://cdn.sofifa.net/players/257/304/23_60.png,,24,190,87,Austria Lustenau,1000,1000000,SUB,Right,-,https://cdn.sofifa.net/flags/at.png,-,-,Medium,Medium,66,65,58,10
M. Grzybek,Mateusz Grzybek,64,,675000,"RB,RM",RM,Poland,https://cdn.sofifa.net/players/262/691/23_60.png,,26,178,68,Radomiak Radom,2000,962000,RB,Right,-,https://cdn.sofifa.net/flags/pl.png,-,-,High,High,75,46,60,42
D. Margush,Daniel Margush,64,,675000,GK,GK,Australia,https://cdn.sofifa.net/players/231/914/23_60.png,,24,187,80,Western Sydney Wanderers,1000,894000,SUB,Right,-,https://cdn.sofifa.net/flags/au.png,-,-,Medium,Medium,63,64,63,12
E. Penilla,Edison Penilla,64,,675000,CB,CB,Venezuela,https://cdn.sofifa.net/players/256/089/23_60.png,,26,192,95,Estudiantes de Mérida,500,1500000,SUB,Right,-,https://cdn.sofifa.net/flags/ve.png,-,-,Medium,Medium,63,26,42,38
B. Cespedes,Boris Cespedes,64,,675000,"CDM,CM",CDM,Bolivia,https://cdn.sofifa.net/players/250/765/23_60.png,,27,181,72,Servette FC,4000,1000000,SUB,Right,-,-,-,-,Medium,Medium,68,50,57,54
R. Leak,Ryan Leak,64,,675000,CB,CB,Wales,https://cdn.sofifa.net/players/241/894/23_60.png,,24,191,83,Salford City,4000,1200000,CB,Left,-,https://cdn.sofifa.net/flags/gb-wls.png,-,-,Low,Medium,51,31,43,33
M. Sipľak,Michal Sipľak,64,,675000,"LWB,CB,LM",LWB,Slovakia,https://cdn.sofifa.net/players/239/762/23_60.png,,26,184,80,Cracovia,2000,962000,LM,Left,-,-,-,-,High,High,70,39,57,32
Kwak Yoon Ho,Yoon Ho Kwak,64,,675000,CB,CB,Korea Republic,https://cdn.sofifa.net/players/260/498/23_60.png,,26,185,83,Suwon FC,2000,894000,SUB,Right,-,-,-,-,Low,Medium,62,27,40,38
D. Del Fabro,Dario Del Fabro,64,,675000,CB,CB,Italy,https://cdn.sofifa.net/players/211/067/23_60.png,,27,190,81,Cittadella,800,1100000,SUB,Right,-,https://cdn.sofifa.net/flags/it.png,-,-,Medium,Medium,62,34,38,36
D. Fleitas,David Fleitas,63,,675000,ST,ST,Paraguay,https://cdn.sofifa.net/players/254/724/23_60.png,,25,181,81,Club Nacional,500,1500000,ST,Right,-,https://cdn.sofifa.net/flags/py.png,-,-,High,Low,59,65,52,60
J. Luján,José Luján,63,,675000,CB,CB,Peru,https://cdn.sofifa.net/players/260/203/23_60.png,,25,181,73,FBC Melgar,500,1600000,RES,Left,-,https://cdn.sofifa.net/flags/pe.png,-,-,Medium,Medium,58,23,39,35
B. Meijers,Bart Meijers,63,,675000,CB,CB,Netherlands,https://cdn.sofifa.net/players/238/850/23_60.png,,25,185,77,Petrolul Ploiești,2000,1000000,CB,Right,-,https://cdn.sofifa.net/flags/nl.png,-,-,Medium,High,66,35,49,32
T. O'Connor,Thomas O'Connor,63,,675000,"CDM,CM",LWB,Republic of Ireland,https://cdn.sofifa.net/players/236/319/23_60.png,,23,186,77,Wrexham AFC,500,1500000,SUB,Left,-,-,-,-,Medium,High,66,57,62,54
Galego,Jefferson F. Isidio,63,,675000,"CAM,CM",LM,Brazil,https://cdn.sofifa.net/players/259/325/23_60.png,,25,176,70,Gangwon FC,2000,894000,RES,Left,-,https://cdn.sofifa.net/flags/br.png,-,-,Medium,Medium,70,57,62,59
G. Thomas,George Thomas,63,,675000,"CAM,CM",RM,Wales,https://cdn.sofifa.net/players/220/894/23_60.png,,25,173,76,Queens Park Rangers,7000,1300000,RES,Right,-,https://cdn.sofifa.net/flags/gb-wls.png,-,-,High,Medium,76,60,61,63
E. Abedini,Eris Abedini,63,,675000,CDM,CDM,Kosovo,https://cdn.sofifa.net/players/243/714/23_60.png,,23,189,77,FC Winterthur,2000,1000000,CDM,Right,-,-,-,-,Low,Medium,57,38,58,47
D. Pierias,Dylan Pierias,63,,675000,RM,RM,Australia,https://cdn.sofifa.net/players/237/705/23_60.png,,22,175,72,Western United FC,800,894000,SUB,Right,-,https://cdn.sofifa.net/flags/au.png,-,-,Medium,Medium,88,41,51,33
D. Wenzel-Halls,Dylan Wenzel-Halls,63,,675000,ST,CAM,Australia,https://cdn.sofifa.net/players/243/721/23_60.png,,24,175,70,Western United FC,900,894000,SUB,Right,-,https://cdn.sofifa.net/flags/au.png,-,-,High,Low,83,64,53,60
B. Bekaroğlu,Burak Bekaroğlu,63,,675000,CB,CB,Turkey,https://cdn.sofifa.net/players/264/283/23_60.png,,25,185,78,Fatih Karagümrük S.K.,5000,1500000,CB,Right,-,https://cdn.sofifa.net/flags/tr.png,-,-,Low,Medium,61,27,42,39
André Teles,André António Rosário Teles,63,,675000,"CM,CDM",CM,Portugal,https://cdn.sofifa.net/players/235/787/23_60.png,,25,180,70,Clube Sport Marítimo,2000,1500000,RES,Right,-,https://cdn.sofifa.net/flags/pt.png,-,-,Medium,Medium,67,49,61,51
G. Zelalem,Gedion Zelalem,63,,675000,"CM,CAM,CDM",CAM,United States,https://cdn.sofifa.net/players/216/699/23_60.png,,25,180,70,New York City FC,2000,1100000,SUB,Right,-,https://cdn.sofifa.net/flags/us.png,-,-,Medium,Medium,49,50,66,56
R. Harper,Rekeem Harper,63,,675000,"CDM,CM",CAM,England,https://cdn.sofifa.net/players/238/958/23_60.png,,22,188,76,Exeter City,2000,0,SUB,Right,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,Medium,Medium,64,56,61,56
N. Sommer,Niklas-Wilson Sommer,63,,675000,RB,RWB,Germany,https://cdn.sofifa.net/players/246/650/23_60.png,,24,179,73,SV Waldhof Mannheim 07,1000,1000000,RES,Right,-,https://cdn.sofifa.net/flags/de.png,-,-,High,Medium,82,38,57,35
E. Moses,Ebiye Moses,63,,675000,ST,ST,Nigeria,https://cdn.sofifa.net/players/240/524/23_60.png,,25,185,82,Aalesunds FK,1000,894000,ST,Right,-,-,-,-,Medium,Low,82,60,52,57
R. Örqvist,Rasmus Örqvist,63,,675000,CM,CDM,Sweden,https://cdn.sofifa.net/players/267/412/23_60.png,,23,184,81,Degerfors IF,800,894000,CM,Right,-,https://cdn.sofifa.net/flags/se.png,-,-,Medium,Medium,68,57,58,44
S. Hughes,Sam Hughes,63,,675000,CB,CB,England,https://cdn.sofifa.net/players/239/506/23_60.png,,25,187,80,Burton Albion,1000,1300000,CB,Right,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,Medium,High,54,33,44,45
G. Lapslie,George Lapslie,63,,675000,"CM,CAM",CM,England,https://cdn.sofifa.net/players/227/682/23_60.png,,24,180,74,Mansfield Town,4000,1200000,CF,Right,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,High,Medium,66,60,60,55
A. Groiß,Alexander Groiß,63,,675000,CDM,CB,Germany,https://cdn.sofifa.net/players/245/719/23_60.png,,24,189,87,SpVgg Bayreuth,500,1000000,CDM,Right,-,https://cdn.sofifa.net/flags/de.png,-,-,Medium,High,54,44,51,39
C. Gravius,Christos Gravius,63,,675000,CM,CM,Sweden,https://cdn.sofifa.net/players/226/633/23_60.png,,24,181,72,Degerfors IF,800,894000,SUB,Left,-,https://cdn.sofifa.net/flags/se.png,-,-,Medium,Medium,63,51,64,48
A. Al-Ammari,Amir Al-Ammari,63,,675000,CM,CM,Iraq,https://cdn.sofifa.net/players/261/298/23_60.png,,24,183,70,Mjällby AIF,1000,0,SUB,Left,-,-,-,-,High,Medium,68,57,64,55
K. Joelsson,Kalle Joelsson,62,,675000,GK,GK,Sweden,https://cdn.sofifa.net/players/228/355/23_60.png,,24,183,74,Helsingborgs IF,500,979000,GK,Right,-,https://cdn.sofifa.net/flags/se.png,-,-,Medium,Medium,61,60,63,29
M. Eșanu,Mihai Eșanu,62,,675000,GK,GK,Romania,https://cdn.sofifa.net/players/258/420/23_60.png,,23,188,75,AFC Chindia Târgoviște,750,1000000,SUB,Right,-,https://cdn.sofifa.net/flags/ro.png,-,-,Medium,Medium,64,56,63,15
M. Arzamendia,Marino Arzamendia,62,,675000,GK,GK,Paraguay,https://cdn.sofifa.net/players/254/760/23_60.png,,24,190,87,Club Olimpia,500,1600000,RES,Right,-,https://cdn.sofifa.net/flags/py.png,-,-,Medium,Medium,61,60,55,8
J. Odehnal,Jakob Odehnal,62,,675000,GK,GK,Austria,https://cdn.sofifa.net/players/251/753/23_60.png,,20,195,85,SC Rheindorf Altach,1000,1100000,SUB,Right,-,https://cdn.sofifa.net/flags/at.png,-,-,Medium,Medium,64,62,57,19
H. Keto,Hugo Keto,62,,675000,GK,GK,Finland,https://cdn.sofifa.net/players/225/766/23_60.png,,24,192,79,Sandefjord Fotball,600,979000,SUB,Right,-,https://cdn.sofifa.net/flags/fi.png,-,-,Medium,Medium,62,60,57,25
Sergio Díaz,Sergio Díaz Sorroche,62,,675000,GK,GK,Spain,https://cdn.sofifa.net/players/263/154/23_60.png,,24,181,73,FC Cartagena,1000,1200000,RES,Right,-,https://cdn.sofifa.net/flags/es.png,-,-,Medium,Medium,63,59,61,17
O. Hedvall,Oscar Hedvall,62,,675000,GK,GK,Denmark,https://cdn.sofifa.net/players/234/658/23_60.png,,23,195,89,Silkeborg IF,1000,979000,SUB,Left,-,https://cdn.sofifa.net/flags/dk.png,-,-,Medium,Medium,66,60,63,14
